Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-02-27 20:02:41;254.31
2023-02-27 20:17:41;254.06
2023-02-27 20:32:41;254.06
2023-02-27 20:47:41;254.0
2023-02-27 21:02:41;254.22
2023-02-27 21:17:41;253.84
2023-02-27 21:32:41;254.5
2023-02-27 21:47:41;255.47
2023-02-27 22:02:41;256.06
2023-02-27 22:17:41;256.13
2023-02-27 22:32:41;256.91
2023-02-27 22:47:41;256.0
2023-02-27 23:02:41;256.53
2023-02-27 23:17:41;254.09
2023-02-27 23:32:41;256.25
2023-02-27 23:47:41;256.16
2023-02-28 00:02:41;253.88
2023-02-28 00:17:41;256.19
2023-02-28 00:32:41;256.91
2023-02-28 00:47:41;252.22
2023-02-28 01:02:41;256.16
2023-02-28 01:17:41;254.22
2023-02-28 01:32:41;255.16
2023-02-28 01:47:41;256.53
2023-02-28 02:02:41;254.03
2023-02-28 02:17:41;256.16
2023-02-28 02:32:41;253.88
2023-02-28 02:47:41;255.66
2023-02-28 03:02:41;253.41
2023-02-28 03:17:41;256.56
2023-02-28 03:32:41;253.03
2023-02-28 03:47:41;256.38
2023-02-28 04:02:41;252.97
2023-02-28 04:17:41;256.41
2023-02-28 04:32:41;256.28
2023-02-28 04:47:41;253.59
2023-02-28 05:02:41;256.34
2023-02-28 05:17:41;254.03
2023-02-28 05:32:41;256.13
2023-02-28 05:47:41;256.06
2023-02-28 06:02:41;254.66
2023-02-28 06:17:41;256.31
2023-02-28 06:32:41;256.03
2023-02-28 06:47:41;255.94
2023-02-28 07:02:41;255.16
2023-02-28 07:17:41;253.34
2023-02-28 07:32:41;253.19
2023-02-28 07:47:41;253.41
2023-02-28 08:02:41;253.81
2023-02-28 08:17:41;255.72
2023-02-28 08:32:41;255.38
2023-02-28 08:47:41;256.34
2023-02-28 09:02:41;256.16
2023-02-28 09:17:41;256.0
2023-02-28 09:32:41;256.09
2023-02-28 09:47:41;254.97
2023-02-28 10:02:41;255.44
2023-02-28 10:17:41;255.94
2023-02-28 10:32:41;255.44
2023-02-28 10:47:41;255.16
2023-02-28 11:02:41;255.53
2023-02-28 11:17:41;255.66
2023-02-28 11:32:41;256.53
2023-02-28 11:47:41;255.59
2023-02-28 12:02:41;256.03
2023-02-28 12:17:41;255.63
2023-02-28 12:32:41;256.09
2023-02-28 12:47:41;255.97
2023-02-28 13:02:41;256.03
2023-02-28 13:17:41;255.31
2023-02-28 13:32:41;255.28
2023-02-28 13:47:41;255.47
2023-02-28 14:02:41;255.66
2023-02-28 14:17:41;255.41
2023-02-28 14:32:41;255.94
2023-02-28 14:47:41;255.28
2023-02-28 15:02:41;255.03
2023-02-28 15:17:41;255.81
2023-02-28 15:32:40;255.47
2023-02-28 15:47:40;256.03
2023-02-28 16:02:40;256.97
2023-02-28 16:17:40;256.03
2023-02-28 16:32:40;256.13
2023-02-28 16:47:40;256.38
2023-02-28 17:02:40;256.03
2023-02-28 17:17:40;256.09
2023-02-28 17:32:40;256.09
2023-02-28 17:47:40;256.34
2023-02-28 18:02:40;255.13
2023-02-28 18:17:40;255.22
2023-02-28 18:32:40;254.22
2023-02-28 18:47:40;254.47
2023-02-28 19:02:40;253.25
2023-02-28 19:17:40;253.38
2023-02-28 19:32:40;253.09
2023-02-28 19:47:40;253.53
2023-02-28 20:02:40;253.63
2023-02-28 20:17:40;253.38
2023-02-28 20:32:40;253.94
2023-02-28 20:47:40;252.88
2023-02-28 21:02:40;253.22
2023-02-28 21:17:40;253.44
2023-02-28 21:32:40;254.53
2023-02-28 21:47:40;254.69
